Startdatum,Enddatum,Portfolioname,Kampagnentyp,Kampagnen-Name,Land,Status,Währung,Budget,Targeting-Typ,Gebotsstrategien,Impressionen,Impressionen im vergangenen Jahr,Klicks,Klicks im letzten Jahr,Klickrate (CTR),Ausgaben,Ausgaben im letzten Jahr,Kosten pro Klick (CPC),Kosten pro Klick im letzten Jahr (CPC),"7 Tage, Aufträge gesamt (#)","Zugeschriebene Umsatzkosten (ACOS) gesamt ",Gesamte Rentabilität der Anzeigenkosten (ROAS),"7 Tage, Umsatz gesamt (€)"
"Mar 11, 2025","Apr 01, 2025",AA_Blubberschlauch,Sponsored Products,Blubberschlauch Performance_SP_P-Bestseller_-(0/0),Deutschland,ENABLED,EUR,€10.0,Manuelles Targeting,Dynamische Gebote – nur senken,880,4721,34,80,3.864%,€8.38,€15.87,€0.24647059999999998,€0.198375,14,2.62%,38.16,€319.81
"Mar 10, 2025","Mar 21, 2025",AA_Blubberschlauch,Sponsored Products,Blubberschlauch Performance_SP_KW-Breit_-(0/0),Deutschland,ARCHIVED,EUR,€30.5,Manuelles Targeting,Dynamische Gebote – nur senken,132,125,1,0,0.758%,€0.1,€0.0,€0.1,€0.0,0,0.0%,0.0,€0.0
"Mar 10, 2025","Mar 21, 2025",AA_Schlauchtülle Druckluftkupplung,Sponsored Products,Schlauchtülle Druckluftkupplung Performance_SP_KW-Exakt_-(0/0),Deutschland,ARCHIVED,EUR,€10.0,Manuelles Targeting,Dynamische Gebote – nur senken,585,1176,0,10,0.0%,€0.0,€1.63,€0.0,€0.163,0,0.0%,0.0,€0.0
"Mar 11, 2025","Mar 19, 2025",AA_Schlauchtülle Druckluftkupplung,Sponsored Products,Schlauchtülle Druckluftkupplung Performance_SP_P-Bestseller_-(0/0),Deutschland,ARCHIVED,EUR,€5.0,Manuelles Targeting,Dynamische Gebote – nur senken,9,7593,0,32,0.0%,€0.0,€5.98,€0.0,€0.186875,0,0.0%,0.0,€0.0
"Mar 03, 2025","Apr 01, 2025",AA_Druckluftverteiler Wanddose B08Q48X8VJ,Sponsored Products,Druckluftverteiler Wanddose B08Q48X8VJ Performance_SP_KW-Breit_-(0/0),Deutschland,ENABLED,EUR,€9.0,Manuelles Targeting,Dynamische Gebote – nur senken,24042,3612,117,14,0.48700000000000004%,€58.74,€7.22,€0.5020513,€0.5157143,14,13.08%,7.65,€449.07
"Mar 03, 2025","Apr 01, 2025",AA_Druckluftverteiler Wanddose B08Q48X8VJ,Sponsored Products,Druckluftverteiler Wanddose B08Q48X8VJ Performance_SP_KW-Exakt_-(0/0),Deutschland,ENABLED,EUR,€10.5,Manuelles Targeting,Dynamische Gebote – nur senken,21446,38699,163,183,0.76%,€70.02,€76.3,€0.42957059999999997,€0.4169399,58,3.907%,25.59,€1791.95
"Mar 03, 2025","Mar 21, 2025",AA_Steckverbinder,Sponsored Products,Steckverbinder B08N6TM97S Performance_SP_KW-Breit_-(0/0),Deutschland,ARCHIVED,EUR,€6.0,Manuelles Targeting,Dynamische Gebote – nur senken,5353,3501,37,33,0.6910000000000001%,€7.53,€6.24,€0.2035135,€0.18909089999999998,6,26.75%,3.74,€28.15
"Mar 03, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,Kampagne - Zwilli 032024,Deutschland,ENABLED,EUR,€15.0,Automatisches Targeting,Dynamische Gebote – nur senken,80423,,274,,0.34099999999999997%,€79.78,,€0.29116790000000004,€0.0,85,16.448%,6.08,€485.05
"Mar 10, 2025","Mar 21, 2025",No Portfolio,Sponsored Products,Schlauch B auto SP my TSHP,Deutschland,PAUSED,EUR,€25.0,Automatisches Targeting,Dynamische Gebote – nur senken,101887,,852,,0.836%,€280.76,,€0.32953049999999995,€0.0,61,69.975%,1.43,€401.23
"Mar 10, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,Kampagne mit Voreinstellungen - B00CD421U8 - 19.6.2024 09:04:55,Deutschland,ENABLED,EUR,€10.0,Manuelles Targeting,Dynamische Gebote – erhöhen und senken,13118,,26,,0.198%,€22.33,,€0.8588462,€0.0,3,38.125%,2.62,€58.57
